LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
Cavacurta,19/5/2020,20,16,24,18,89,19,10,26,0,1013,0,0,Pioggia Temporale
Lecco,19/5/2020,19,17,23,14,72,20,7,13,0,1015,0,0,Pioggia
Brescia,19/5/2020,20,18,23,16,78,13,7,15,0,1014,0,0,Pioggia Temporale
Bormio,19/5/2020,14,10,18,6,61,17,11,17,0,1020,0,0,
Cremona,19/5/2020,20,16,24,18,89,19,10,26,0,1013,0,0,Pioggia Temporale
Bergamo,19/5/2020,19,17,23,14,72,20,7,13,0,1015,0,0,Pioggia
Pavia,19/5/2020,20,17,23,16,78,20,7,15,0,1015,0,0,Pioggia Temporale
Milano,19/5/2020,20,17,23,16,78,20,7,15,0,1015,0,0,Pioggia Temporale
Mantova,19/5/2020,20,17,24,15,74,20,9,22,0,1014,0,0,Pioggia Temporale
Morbegno,19/5/2020,19,17,23,14,72,20,7,13,0,1015,0,0,Pioggia
Varese,19/5/2020,20,16,25,15,76,19,12,28,0,1015,0,0,Pioggia
Como,19/5/2020,20,16,25,15,76,19,12,28,0,1015,0,0,Pioggia
